date,temperature_mean,temperature_max,temperature_min,humidity,wind_speed,wind_direction,pressure,rain,temp_diff,pressure_change,wind_pressure_ratio
2024-12-25,19.22222222222222,20.0,18.0,65.44444444444444,6.577777777777778,80.0,1021.2222222222222,0.0,2.0,0.0,0.006441083668806442
2024-12-26,20.75,24.0,18.0,58.458333333333336,9.358333333333333,185.95833333333334,1022.25,0.0,6.0,1.0277777777778283,0.009154642536887584
2024-12-27,17.75,20.0,16.0,68.16666666666667,16.0125,79.58333333333333,1025.7916666666667,0.0,4.0,3.5416666666667425,0.015609894796701733
2024-12-28,18.541666666666668,23.0,15.0,54.041666666666664,10.137500000000001,158.33333333333334,1024.625,0.0,8.0,-1.1666666666667425,0.009893863608637308
2024-12-29,17.625,22.0,13.0,62.375,10.200000000000001,109.58333333333333,1020.2916666666666,0.0,9.0,-4.333333333333371,0.00999714134030302
2024-12-30,18.666666666666668,21.0,15.0,67.04166666666667,7.241666666666667,219.5,1021.0833333333334,0.0,6.0,0.7916666666667425,0.007092140700236677
2024-12-31,16.75,20.0,12.0,73.875,8.408333333333333,203.33333333333334,1020.125,0.0,8.0,-0.9583333333333712,0.008242453947637136
2025-01-01,18.666666666666668,25.0,12.0,72.08333333333333,5.7749999999999995,140.04166666666666,1017.0833333333334,0.0,13.0,-3.0416666666666288,0.0056780008193363365
2025-01-02,19.791666666666668,24.0,14.0,68.04166666666667,6.241666666666667,197.45833333333334,1019.125,0.0,10.0,2.0416666666666288,0.006124534936015373
2025-01-03,19.666666666666668,26.0,13.0,62.666666666666664,5.925,81.04166666666667,1019.2916666666666,0.0,13.0,0.16666666666662877,0.005812860237910313
2025-01-04,19.041666666666668,24.0,14.0,65.875,7.75,155.0,1019.875,0.0,10.0,0.5833333333333712,0.007598970462066429
2025-01-05,18.875,24.0,13.0,60.416666666666664,7.541666666666667,207.25,1019.125,0.0,11.0,-0.75,0.007400139008136065
2025-01-06,18.375,24.0,13.0,64.58333333333333,6.966666666666666,106.45833333333333,1017.5,0.0,11.0,-1.625,0.006846846846846846
2025-01-07,19.208333333333332,23.0,14.0,72.25,6.791666666666667,99.91666666666667,1017.4583333333334,0.0,9.0,-0.04166666666662877,0.0066751300217044104
2025-01-08,20.041666666666668,24.0,17.0,71.41666666666667,10.083333333333334,93.75,1018.6666666666666,0.0,7.0,1.2083333333332575,0.009898560209424085
2025-01-09,18.791666666666668,23.0,15.0,52.458333333333336,16.741666666666667,39.166666666666664,1023.5833333333334,0.0,8.0,4.9166666666667425,0.016355939102825044
2025-01-10,16.125,18.0,15.0,50.5,11.729166666666666,85.0,1028.5833333333333,0.0,3.0,4.999999999999886,0.011403224499716438
2025-01-11,14.041666666666666,19.0,9.0,57.708333333333336,10.700000000000001,183.25,1030.2916666666667,0.0,10.0,1.708333333333485,0.010385408662595543
2025-01-12,14.416666666666666,21.0,8.0,51.5,6.233333333333333,107.79166666666667,1025.0,0.0,13.0,-5.2916666666667425,0.00608130081300813
2025-01-13,15.875,21.0,7.0,62.333333333333336,5.566666666666666,139.41666666666666,1021.125,0.0,14.0,-3.875,0.00545150365201779
2025-01-14,17.458333333333332,23.0,12.0,68.125,6.283333333333334,227.375,1021.9583333333334,0.1,11.0,0.8333333333333712,0.006148326334243895
2025-01-15,19.458333333333332,24.0,13.0,54.25,9.291666666666666,73.91666666666667,1024.7916666666667,0.0,11.0,2.8333333333333712,0.009066883512909126
2025-01-16,18.083333333333332,23.0,13.0,54.458333333333336,9.441666666666666,59.541666666666664,1024.0416666666667,0.0,10.0,-0.75,0.009220002441306913
2025-01-17,17.208333333333332,22.0,12.0,65.45833333333333,10.533333333333333,112.29166666666667,1019.5,0.0,10.0,-4.5416666666667425,0.010331862023867908
2025-01-18,16.583333333333332,18.0,15.0,69.91666666666667,10.658333333333333,255.83333333333334,1019.0833333333334,0.0,3.0,-0.41666666666662877,0.010458745604710116
2025-01-19,18.291666666666668,23.0,15.0,64.08333333333333,8.658333333333333,179.58333333333334,1016.0,0.0,8.0,-3.0833333333333712,0.008521981627296588
2025-01-20,18.833333333333332,24.0,14.0,63.958333333333336,8.1,170.0,1015.625,0.0,10.0,-0.375,0.007975384615384615
2025-01-21,19.583333333333332,25.0,14.0,66.79166666666667,11.041666666666666,115.0,1014.875,0.0,11.0,-0.75,0.010879829207209426
2025-01-22,19.333333333333332,21.0,17.0,78.54166666666667,8.383333333333333,137.04166666666666,1015.2916666666666,0.2,4.0,0.41666666666662877,0.008257068986744368
2025-01-23,19.958333333333332,22.0,18.0,82.66666666666667,13.674999999999999,118.33333333333333,1013.0416666666666,0.1,4.0,-2.25,0.013498951178381935
2025-01-24,20.833333333333332,24.0,18.0,88.20833333333333,11.975,104.16666666666667,1011.0833333333334,0.6000000000000001,6.0,-1.9583333333332575,0.011843731970658534
2025-01-25,21.083333333333332,24.0,16.0,83.45833333333333,16.154166666666665,105.41666666666667,1014.5833333333334,11.0,8.0,3.5,0.01592197125256673
2025-01-26,14.791666666666666,16.0,14.0,57.458333333333336,16.558333333333334,188.33333333333334,1025.625,1.5,2.0,11.041666666666629,0.016144627259800936
2025-01-27,15.416666666666666,19.0,12.0,46.75,10.079166666666667,109.04166666666667,1023.1666666666666,0.2,7.0,-2.4583333333333712,0.00985095292392898
2025-01-28,13.833333333333334,17.0,11.0,51.833333333333336,7.795833333333333,132.41666666666666,1025.3333333333333,0.0,6.0,2.1666666666666288,0.0076032184655396625
