date,temperature_mean,temperature_max,temperature_min,humidity,wind_speed,wind_direction,pressure,rain,temp_diff,pressure_change,wind_pressure_ratio
2024-12-25,22.555555555555557,22.9,22.0,83.66666666666667,21.044444444444444,333.1111111111111,1014.7888888888889,2.9,0.8999999999999986,0.0,0.020737756074060285
2024-12-26,23.641666666666666,25.7,22.4,91.125,20.495833333333334,239.08333333333334,1015.6458333333334,32.6,3.3000000000000007,0.8569444444444798,0.020180098869766773
2024-12-27,24.1375,25.7,23.1,90.875,23.6125,76.70833333333333,1016.5166666666668,19.0,2.599999999999998,0.870833333333394,0.023228837041530715
2024-12-28,22.9375,25.1,20.7,87.08333333333333,29.695833333333336,146.5,1017.7333333333332,10.0,4.400000000000002,1.2166666666664696,0.029178402987030005
2024-12-29,22.179166666666664,24.5,20.1,84.20833333333333,23.55,235.33333333333334,1017.0333333333333,4.3,4.399999999999999,-0.6999999999999318,0.023155583232276886
2024-12-30,22.77916666666667,24.8,21.4,81.0,23.808333333333334,278.0833333333333,1015.7291666666666,3.3,3.400000000000002,-1.3041666666666742,0.023439647215670188
2024-12-31,21.691666666666666,22.3,21.0,79.875,28.2,335.0416666666667,1014.85,12.0,1.3000000000000007,-0.879166666666606,0.027787357737596687
2025-01-01,22.766666666666666,24.7,21.4,72.08333333333333,26.425,289.9166666666667,1013.3833333333333,0.0,3.3000000000000007,-1.466666666666697,0.02607601598605332
2025-01-02,23.520833333333332,26.4,21.7,76.375,26.270833333333332,291.5833333333333,1013.15,0.6000000000000001,4.699999999999999,-0.2333333333333485,0.02592985573047755
2025-01-03,22.308333333333334,24.4,20.3,82.875,28.379166666666666,294.2916666666667,1014.5541666666667,2.9,4.099999999999998,1.404166666666697,0.027972056691568135
2025-01-04,22.116666666666664,24.6,19.5,67.75,25.308333333333334,243.125,1015.1916666666666,0.0,5.100000000000001,0.6374999999999318,0.02492961099299804
2025-01-05,22.412499999999998,25.2,20.4,71.41666666666667,26.570833333333336,318.2083333333333,1015.4875000000001,0.0,4.800000000000001,0.2958333333334622,0.026165593700890787
2025-01-06,22.21666666666667,26.2,18.9,77.08333333333333,20.675,250.20833333333334,1014.75,0.1,7.300000000000001,-0.7375000000000682,0.02037447647203745
2025-01-07,22.116666666666664,26.8,18.2,82.29166666666667,16.954166666666666,218.08333333333334,1014.5416666666666,0.6000000000000001,8.600000000000001,-0.20833333333337123,0.016711158569140416
2025-01-08,22.766666666666666,26.0,20.0,78.20833333333333,18.9375,227.16666666666666,1014.9625,0.0,6.0,0.4208333333333485,0.018658324814956218
2025-01-09,23.150000000000002,25.3,21.1,80.5,23.733333333333334,167.75,1016.9916666666667,1.9000000000000001,4.199999999999999,2.029166666666697,0.02333680216979818
2025-01-10,22.570833333333336,25.1,19.8,74.08333333333333,32.079166666666666,210.04166666666666,1020.0541666666667,1.4000000000000001,5.300000000000001,3.0625,0.03144849333981447
2025-01-11,20.679166666666667,22.4,18.6,79.91666666666667,34.145833333333336,277.0416666666667,1021.2125,3.8000000000000003,3.799999999999997,1.158333333333303,0.033436560298011765
2025-01-12,20.266666666666666,23.2,17.7,65.08333333333333,31.104166666666668,265.25,1019.4291666666667,0.0,5.5,-1.783333333333303,0.03051135643722181
2025-01-13,20.650000000000002,22.4,18.6,73.54166666666667,24.03333333333333,325.875,1016.4708333333333,0.0,3.799999999999997,-2.9583333333333712,0.02364389861981611
2025-01-14,22.895833333333332,25.2,21.7,78.95833333333333,22.287499999999998,294.8333333333333,1015.4125,0.2,3.5,-1.0583333333332803,0.02194920783425455
2025-01-15,23.09166666666667,25.0,21.5,88.0,25.412499999999998,115.625,1016.5333333333333,10.1,3.5,1.1208333333332803,0.024999180220356767
2025-01-16,21.808333333333334,23.7,20.4,80.54166666666667,31.670833333333334,120.66666666666667,1018.225,2.3,3.3000000000000007,1.6916666666667197,0.031103963596781983
2025-01-17,21.254166666666666,23.2,18.5,73.29166666666667,23.454166666666666,167.5,1016.3333333333334,0.5,4.699999999999999,-1.8916666666666515,0.0230772384388324
2025-01-18,21.0,23.3,17.3,72.125,20.141666666666666,250.0,1014.9666666666667,0.3,6.0,-1.3666666666666742,0.01984465828106013
2025-01-19,20.879166666666666,25.2,16.0,75.41666666666667,18.945833333333333,210.875,1013.7708333333334,0.0,9.2,-1.1958333333333258,0.018688477425453646
2025-01-20,20.516666666666666,24.5,16.1,73.16666666666667,16.712500000000002,230.83333333333334,1013.6125000000001,0.0,8.399999999999999,-0.15833333333330302,0.016488056333164795
2025-01-21,20.154166666666665,25.0,14.9,73.875,14.4,208.5,1013.6999999999999,0.0,10.1,0.08749999999986358,0.014205386208937557
2025-01-22,20.145833333333332,25.5,14.7,80.91666666666667,12.725000000000001,178.41666666666666,1013.9208333333332,0.0,10.8,0.22083333333330302,0.012550289511426355
2025-01-23,20.466666666666665,25.7,15.1,80.79166666666667,11.7125,202.95833333333334,1013.0833333333334,0.0,10.6,-0.8374999999998636,0.011561240437607962
