date,temperature_mean,temperature_max,temperature_min,humidity,wind_speed,wind_direction,pressure,rain,temp_diff,pressure_change,wind_pressure_ratio
2024-12-25,26.0,27.0,25.0,77.11111111111111,6.933333333333334,156.66666666666666,1011.1111111111111,0.1,2.0,0.0,0.006857142857142858
2024-12-26,28.875,33.0,25.0,71.875,9.654166666666667,123.83333333333333,1011.625,3.8,8.0,0.5138888888889142,0.00954322665678158
2024-12-27,26.5,31.0,23.0,87.83333333333333,7.620833333333334,194.25,1012.3333333333334,11.5,8.0,0.7083333333333712,0.007527988146196905
2024-12-28,26.958333333333332,32.0,23.0,79.33333333333333,7.483333333333333,148.29166666666666,1012.2916666666666,7.6000000000000005,9.0,-0.04166666666674246,0.0073924675859230295
2024-12-29,26.958333333333332,32.0,22.0,67.91666666666667,8.729166666666666,95.0,1011.5416666666666,0.0,10.0,-0.75,0.008629567079952218
2024-12-30,27.416666666666668,32.0,22.0,73.91666666666667,9.033333333333333,237.75,1011.3333333333334,0.0,10.0,-0.20833333333325754,0.008932102834541858
2024-12-31,27.583333333333332,31.0,24.0,69.5,8.85,79.16666666666667,1010.1666666666666,0.0,7.0,-1.1666666666667425,0.008760930539514931
2025-01-01,27.375,31.0,24.0,72.16666666666667,6.8,174.41666666666666,1009.2083333333334,0.0,7.0,-0.9583333333332575,0.006737954667437348
2025-01-02,27.708333333333332,31.0,25.0,74.91666666666667,7.658333333333334,212.54166666666666,1009.3958333333334,0.5,6.0,0.1875,0.007587046706982312
2025-01-03,28.041666666666668,32.0,23.0,63.958333333333336,10.358333333333333,61.25,1009.625,3.0,9.0,0.22916666666662877,0.010259584829350831
2025-01-04,27.541666666666668,32.0,23.0,68.58333333333333,7.633333333333333,234.16666666666666,1010.1666666666666,0.0,9.0,0.5416666666666288,0.00755650882692625
2025-01-05,27.416666666666668,32.0,22.0,68.79166666666667,9.466666666666667,272.0416666666667,1010.75,0.0,10.0,0.5833333333333712,0.009365982356336055
2025-01-06,26.625,31.0,22.0,72.375,7.675,247.41666666666666,1010.625,0.0,9.0,-0.125,0.007594310451453309
2025-01-07,27.041666666666668,33.0,22.0,74.625,8.325000000000001,194.66666666666666,1010.75,0.0,11.0,0.125,0.008236458075686372
2025-01-08,26.833333333333332,32.0,23.0,73.875,7.491666666666667,196.95833333333334,1010.9458333333333,0.0,9.0,0.19583333333332575,0.007410551999571359
2025-01-09,27.458333333333332,32.0,23.0,69.33333333333333,7.716666666666666,208.58333333333334,1011.9583333333334,0.0,9.0,1.0125000000000455,0.007625478651130233
2025-01-10,26.958333333333332,33.0,22.0,61.041666666666664,8.983333333333333,76.5,1013.0,0.0,11.0,1.0416666666666288,0.008868048700230339
2025-01-11,26.5,33.0,22.0,56.333333333333336,12.65,104.58333333333333,1013.7916666666666,0.0,11.0,0.7916666666666288,0.012477908840573754
2025-01-12,25.541666666666668,32.0,19.0,54.958333333333336,12.1,70.0,1012.7083333333334,0.0,13.0,-1.0833333333332575,0.011948158815058629
2025-01-13,24.916666666666668,31.0,20.0,64.875,9.508333333333335,231.25,1011.7916666666666,0.0,11.0,-0.9166666666667425,0.00939752089939464
2025-01-14,26.291666666666668,32.0,21.0,81.375,6.6875,168.5,1011.9083333333333,9.0,11.0,0.11666666666667425,0.0066088002042345734
2025-01-15,28.0,33.0,24.0,73.95833333333333,8.041666666666666,134.41666666666666,1011.3333333333334,1.0,9.0,-0.5749999999999318,0.007951549110085694
2025-01-16,27.791666666666668,34.0,22.0,60.25,13.8375,78.33333333333333,1011.9166666666666,0.0,12.0,0.5833333333332575,0.01367454500535288
2025-01-17,26.708333333333332,32.0,22.0,62.666666666666664,9.408333333333333,178.33333333333334,1010.375,0.0,10.0,-1.5416666666666288,0.009311724194812156
2025-01-18,27.25,32.0,22.0,69.16666666666667,7.1000000000000005,209.91666666666666,1010.0416666666666,0.0,10.0,-0.33333333333337123,0.007029412978012459
2025-01-19,27.5,33.0,24.0,75.45833333333333,8.5,198.95833333333334,1009.1875,0.0,9.0,-0.8541666666666288,0.00842261720443426
2025-01-20,26.833333333333332,31.0,22.0,69.95833333333333,8.533333333333333,171.41666666666666,1009.5833333333334,0.0,9.0,0.39583333333337123,0.008452331820057779
2025-01-21,26.458333333333332,31.0,23.0,69.625,7.8500000000000005,147.70833333333334,1009.9583333333334,0.0,8.0,0.375,0.0077725978794504725
2025-01-22,27.208333333333332,32.0,24.0,67.70833333333333,7.983333333333333,151.04166666666666,1010.4166666666666,0.0,8.0,0.45833333333325754,0.007901030927835052
2025-01-23,27.416666666666668,31.0,24.0,74.875,5.666666666666667,148.45833333333334,1009.875,0.0,7.0,-0.5416666666666288,0.005611255518422247
2025-01-24,27.833333333333332,34.0,24.0,71.0,11.591666666666667,116.25,1009.0833333333334,0.0,10.0,-0.7916666666666288,0.011487323478404492
2025-01-25,28.458333333333332,33.0,25.0,69.04166666666667,8.475,135.33333333333334,1008.9166666666666,0.2,8.0,-0.16666666666674246,0.00840009911621376
2025-01-26,27.083333333333332,32.0,23.0,69.95833333333333,8.908333333333333,130.625,1009.5833333333334,0.0,9.0,0.6666666666667425,0.008823772183243912
2025-01-27,26.083333333333332,32.0,21.0,64.70833333333333,7.691666666666666,72.79166666666667,1010.5,0.0,11.0,0.9166666666666288,0.0076117433613722574
2025-01-28,25.416666666666668,30.0,20.0,63.875,8.475,116.79166666666667,1013.2916666666666,0.0,10.0,2.7916666666666288,0.008363830749619638
