date,temperature_mean,temperature_max,temperature_min,humidity,wind_speed,wind_direction,pressure,rain,temp_diff,pressure_change,wind_pressure_ratio
2024-12-25,23.855555555555554,24.4,23.5,95.55555555555556,22.11111111111111,201.44444444444446,1011.5666666666667,0.0,0.8999999999999986,0.0,0.021858283630452214
2024-12-26,27.02916666666667,31.8,23.3,76.79166666666667,25.287499999999998,121.75,1012.4708333333333,7.1,8.5,0.9041666666665833,0.024976028116036265
2024-12-27,25.47083333333333,29.4,22.8,87.83333333333333,18.349999999999998,171.25,1013.2375000000001,14.799999999999999,6.599999999999998,0.7666666666667652,0.018110265362266988
2024-12-28,26.162499999999998,31.7,20.3,73.20833333333333,26.212500000000002,115.29166666666667,1012.4250000000001,0.0,11.399999999999999,-0.8125,0.02589080672642418
2024-12-29,25.516666666666666,31.7,20.0,69.66666666666667,19.3875,142.16666666666666,1011.8708333333334,0.0,11.7,-0.5541666666666742,0.019160054190052254
2024-12-30,25.7625,28.8,21.2,73.20833333333333,8.4,207.08333333333334,1011.9125,0.0,7.600000000000001,0.04166666666662877,0.008301112991488889
2024-12-31,25.683333333333334,29.1,22.3,77.95833333333333,8.154166666666667,219.375,1010.5791666666668,0.0,6.800000000000001,-1.3333333333332575,0.008068805429229938
2025-01-01,25.116666666666664,29.0,22.5,81.33333333333333,8.604166666666666,212.20833333333334,1009.8083333333334,0.0,6.5,-0.7708333333333712,0.008520593842065738
2025-01-02,25.150000000000002,28.5,22.9,88.66666666666667,7.941666666666666,189.625,1010.0,5.800000000000001,5.600000000000001,0.19166666666660603,0.007863036303630363
2025-01-03,24.65416666666667,28.3,21.1,87.58333333333333,10.6875,206.75,1010.125,3.6,7.199999999999999,0.125,0.010580373716124242
2025-01-04,25.195833333333336,31.1,20.6,74.75,15.1875,177.66666666666666,1010.5041666666666,0.0,10.5,0.37916666666660603,0.015029626300402853
2025-01-05,24.7625,29.6,18.8,74.95833333333333,13.333333333333334,151.25,1011.1541666666667,0.0,10.8,0.650000000000091,0.013186251684337617
2025-01-06,24.804166666666664,30.1,19.9,71.95833333333333,12.529166666666667,170.58333333333334,1011.3000000000001,0.0,10.200000000000003,0.14583333333337123,0.012389169056330135
2025-01-07,24.8875,29.2,21.0,73.20833333333333,18.629166666666666,128.20833333333334,1011.475,0.0,8.2,0.17499999999995453,0.01841782215741038
2025-01-08,24.754166666666666,29.2,19.2,71.125,20.316666666666666,110.29166666666667,1011.7875,0.0,10.0,0.3125,0.02007997397345457
2025-01-09,25.78333333333333,30.5,20.4,66.16666666666667,20.066666666666666,79.83333333333333,1012.3791666666666,0.0,10.100000000000001,0.5916666666665833,0.019821295545558937
2025-01-10,25.96666666666667,32.3,20.3,55.916666666666664,28.90416666666667,79.75,1013.4041666666667,0.0,11.999999999999996,1.025000000000091,0.028521854969019437
2025-01-11,25.912499999999998,31.7,19.3,53.5,25.145833333333332,97.20833333333333,1013.7583333333333,0.0,12.399999999999999,0.35416666666662877,0.02480456387534833
2025-01-12,24.662499999999998,31.4,19.4,56.708333333333336,24.875,118.58333333333333,1012.775,0.0,12.0,-0.9833333333333485,0.024561230283132975
2025-01-13,25.191666666666666,28.6,20.3,66.16666666666667,11.970833333333333,181.75,1011.9,0.0,8.3,-0.875,0.011830055670850216
2025-01-14,25.97083333333333,31.5,23.0,78.45833333333333,15.9125,158.125,1011.9,9.5,8.5,0.0,0.015725368119379385
2025-01-15,27.45,33.0,23.2,67.29166666666667,27.462500000000002,77.29166666666667,1011.8666666666667,0.0,9.8,-0.03333333333330302,0.027140433522203192
2025-01-16,26.52916666666667,32.5,20.5,61.708333333333336,28.358333333333334,129.33333333333334,1011.7291666666666,0.0,12.0,-0.13750000000004547,0.028029569837118795
2025-01-17,25.4875,32.2,19.6,59.0,25.804166666666664,119.5,1010.85,0.0,12.600000000000001,-0.879166666666606,0.025527196583733158
2025-01-18,25.758333333333336,31.4,20.8,64.16666666666667,18.8,93.91666666666667,1010.5458333333332,0.0,10.599999999999998,-0.30416666666678793,0.01860380734833898
2025-01-19,25.46666666666667,32.4,20.5,64.95833333333333,25.016666666666666,88.66666666666667,1009.6208333333334,0.0,11.899999999999999,-0.9249999999998408,0.024778278974367438
2025-01-20,24.358333333333334,30.4,19.7,65.54166666666667,23.78333333333333,68.20833333333333,1010.2541666666666,0.0,10.7,0.6333333333332121,0.02354193045479479
2025-01-21,24.245833333333334,29.8,19.5,64.58333333333333,22.379166666666666,74.41666666666667,1010.6625,0.0,10.3,0.4083333333334167,0.022143066223063255
2025-01-22,24.55,29.7,20.6,68.79166666666667,19.029166666666665,114.54166666666667,1011.1875,0.0,9.099999999999998,0.5249999999999773,0.01881863320765601
2025-01-23,26.045833333333334,31.6,21.5,68.45833333333333,16.900000000000002,79.75,1010.6583333333333,0.0,10.100000000000001,-0.529166666666697,0.01672177376132719
2025-01-24,25.27916666666667,31.1,21.1,74.75,20.175,99.45833333333333,1010.0833333333334,0.0,10.0,-0.5749999999999318,0.019973599537991917
2025-01-25,25.891666666666666,31.1,21.6,71.25,20.433333333333334,72.41666666666667,1010.0625,0.0,9.5,-0.02083333333337123,0.02022977126002929
2025-01-26,25.554166666666664,31.1,20.2,62.25,29.3,71.54166666666667,1010.4208333333332,0.0,10.900000000000002,0.3583333333332348,0.02899781856569664
2025-01-27,25.229166666666668,31.9,19.7,55.75,33.391666666666666,62.958333333333336,1011.0166666666668,0.0,12.2,0.5958333333335304,0.033027810289972134
2025-01-28,24.304166666666664,32.1,17.3,58.541666666666664,29.641666666666666,76.125,1013.5375,0.0,14.8,2.5208333333332575,0.029245752294973462
2025-01-29,24.400000000000002,32.1,17.6,56.791666666666664,21.083333333333332,124.29166666666667,1013.25,0.0,14.5,-0.28750000000002274,0.020807632206595934
2025-01-30,24.179166666666664,29.8,18.6,66.33333333333333,14.554166666666667,175.83333333333334,1010.9291666666667,0.0,11.2,-2.3208333333333258,0.014396821406049715
2025-01-31,24.745833333333334,30.5,19.9,66.20833333333333,11.4,218.33333333333334,1010.2708333333334,0.0,10.600000000000001,-0.658333333333303,0.011284102860206627
2025-02-01,24.90833333333333,30.0,19.4,71.45833333333333,14.370833333333335,178.125,1009.7916666666666,0.0,10.600000000000001,-0.47916666666674246,0.014231483391788738
2025-02-02,25.691666666666666,31.1,20.7,69.29166666666667,16.370833333333334,152.08333333333334,1009.6958333333333,0.0,10.400000000000002,-0.09583333333330302,0.016213628691809003
2025-02-03,26.6375,33.5,20.8,59.125,25.854166666666668,84.125,1010.3708333333334,0.0,12.7,0.6750000000000682,0.025588789594579546
2025-02-04,26.504166666666666,34.0,19.6,52.541666666666664,29.866666666666664,56.541666666666664,1010.9708333333333,0.0,14.399999999999999,0.599999999999909,0.029542560162879736
2025-02-05,25.020833333333332,31.0,19.7,63.083333333333336,28.558333333333334,88.25,1010.6791666666667,0.0,11.3,-0.29166666666662877,0.028256576641944565
2025-02-06,24.866666666666664,30.1,19.4,66.16666666666667,18.620833333333334,105.83333333333333,1010.5375,0.0,10.700000000000003,-0.1416666666666515,0.01842666237851968
2025-02-07,25.883333333333336,31.9,20.1,61.083333333333336,20.5625,107.58333333333333,1010.7083333333334,0.0,11.799999999999997,0.1708333333333485,0.020344642783526403
2025-02-08,26.724999999999998,31.9,20.0,49.5,20.55,127.125,1010.7166666666667,0.0,11.899999999999999,0.008333333333325754,0.020332107580429727
2025-02-09,27.179166666666664,33.5,21.1,48.333333333333336,23.65416666666667,131.25,1010.725,0.0,12.399999999999999,0.008333333333325754,0.023403167693157555
2025-02-10,26.670833333333334,30.3,23.7,61.583333333333336,13.633333333333333,201.83333333333334,1011.1458333333334,0.0,6.600000000000001,0.4208333333333485,0.013483053466570515
2025-02-11,26.370833333333334,31.6,23.4,71.16666666666667,11.533333333333333,209.75,1011.2458333333334,0.0,8.200000000000003,0.10000000000002274,0.011405073774510813
2025-02-12,26.5125,32.6,23.2,80.625,13.450000000000001,187.0,1011.7375000000001,11.4,9.400000000000002,0.49166666666667425,0.01329396211962095
2025-02-13,25.695833333333336,30.0,23.2,86.16666666666667,10.7125,179.91666666666666,1011.9291666666667,8.5,6.800000000000001,0.19166666666660603,0.010586215273631636
2025-02-14,25.474999999999998,30.3,22.1,85.83333333333333,9.258333333333333,192.29166666666666,1010.9458333333333,1.8,8.2,-0.9833333333333485,0.00915809040213991
2025-02-15,25.599999999999998,29.9,21.7,83.16666666666667,18.462500000000002,87.83333333333333,1010.3833333333333,2.1,8.2,-0.5625,0.018272767761410687
2025-02-16,26.2,31.7,21.4,72.66666666666667,27.22083333333333,62.833333333333336,1011.6583333333333,0.1,10.3,1.2749999999999773,0.026907140915493538
2025-02-17,26.3875,33.1,21.4,70.04166666666667,26.925,59.125,1012.3249999999999,0.0,11.700000000000003,0.6666666666666288,0.026597189637715162
2025-02-18,27.1875,31.8,22.5,68.0,24.02916666666667,77.83333333333333,1011.9958333333334,0.0,9.3,-0.3291666666665378,0.023744333598211455
2025-02-19,26.662499999999998,33.4,21.9,70.0,23.71666666666667,99.66666666666667,1011.9375,4.0,11.5,-0.058333333333393966,0.023436888806538613
2025-02-20,27.3875,33.0,23.2,64.91666666666667,24.47083333333333,86.625,1011.7833333333333,0.1,9.8,-0.15416666666669698,0.02418584347768791
2025-02-21,27.53333333333333,33.4,23.0,66.58333333333333,25.787499999999998,122.125,1012.3874999999999,0.1,10.399999999999999,0.6041666666666288,0.025471966020915903
2025-02-22,27.120833333333334,33.5,23.8,72.70833333333333,28.3,87.375,1012.6875,2.7,9.7,0.3000000000000682,0.027945442202061348
2025-02-23,28.526666666666664,32.1,25.5,64.93333333333334,34.36,68.33333333333333,1013.4866666666666,2.5,6.600000000000001,0.7991666666665651,0.03390276471323418
